Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",8.52952820753692e-05,7.63294579782848e-05,7.44198798789268e-05,7.01933594688279e-05,7.22604166864651e-05,7.60573395491822e-05,6.29744421712993e-05,8.55721166153583e-05,8.28111840708676e-05,6.94519084284688e-05,5.50282967273321e-05,4.97204011077267e-05,5.94722145240205e-05,5.21238882021191e-05,4.87775243743466e-05,4.83104904258751e-05,5.00942002577263e-05,4.79216019317487e-05,4.92161397636375e-05,5.11901670611118e-05,5.08747954337363e-05,4.39418966669315e-05,4.46902948733769e-05,4.57573447303401e-05,5.02609423655455e-05,4.59713263321048e-05,4.19946673499132e-05,3.95930643981301e-05,3.85864254626298e-05,3.14374493736481e-05,2.66352952182077e-05,2.53305794600189e-05,2.21586754711692e-05,1.88032900156246e-05,1.85197997012835e-05,2.12166894144682e-05,1.54495273454178e-05,1.37343471196241e-05,1.31973941725061e-05,2.14797828985468e-05,3.11027264880747e-05,0.000175263295064034,7.5521892023479e-05,6.71092778480493e-05,5.85049789302902e-05,4.42118782484592e-05,3.89653398473434e-05,4.77361564848682e-05,4.13246851480356e-05,5.479635583194e-05,5.41139504446591e-05,4.75541509533309e-05,4.23202265579809e-05,4.27254905405601e-05,6.67561030720853e-05,5.61436942373759e-05,3.97916078684617e-05
"Albania",0.000123977403574186,0.000122073989203326,0.000179954514675202,0.000152603279700047,0.000125472934542808,0.000151136349385517,0.000156660507275292,0.000166633329000435,0.000148526840949983,0.000137276996874025,0.00013402045938654,0.000121294568332596,0.000102044938353667,0.0001131226813425,9.51981737522937e-05,0.000113693972275343,0.000122743574399021,0.00012688437359129,0.000129056697278596,0.000101550480521402,9.01141812386613e-05,7.77705544975545e-05,6.94216736593789e-05,6.47798155501222e-05,5.96575250969708e-05,5.84132123438705e-05,6.26859424013941e-05,6.18540914283652e-05,6.10030598845562e-05,5.37952335586606e-05,4.59364117943019e-05,5.50750867854506e-05,4.51474839310109e-05,4.07622043694642e-05,4.45782606444628e-05,4.94340172029993e-05,4.29283443470015e-05,4.22720759409356e-05,4.58440054430628e-05,5.00324405263024e-05,4.4549043354062e-05,4.48069833301061e-05,9.42968314340608e-05,6.3039349204702e-05,0.000441938543731525,0.000201545647321593,0.000187637080794673,0.000137987096071365,0.000116989687801954,0.000100396592592521,9.55276924072168e-05,8.44833434486827e-05,7.93498655919921e-05,7.39836494137033e-05,6.69946003274677e-05,5.74596425512422e-05,5.00411399939695e-05
"Algeria",0.000212611212176204,0.000201098578379992,0.000152730437227059,8.35837456487442e-05,8.32764444049475e-05,7.99670438383046e-05,6.02284250469046e-05,6.34760867718237e-05,5.21984622954676e-05,0.000157886456162695,0.000196355688697549,0.000214612747071758,0.000253087806137506,0.000303049821700848,0.000283646942319735,0.000299699010188419,0.000312130518641227,0.000360354405467536,0.000370596718568754,0.000257219880854853,0.00021265665227714,0.000183837056484032,0.000219116232891382,0.000224662621116356,0.000185758930586142,0.000193691381701186,0.000205377292973164,0.00022486700196004,0.000138077919838348,0.000221800423934569,0.000372373518406517,0.000398125145886814,0.000627464413842424,0.00091885021704543,0.000583743595234412,0.000395875096386001,0.00081560706831608,0.000373060527079423,0.000559522968932178,0.000436606264798124,0.000279219185622419,0.000359857810899515,0.000309870640841361,0.000364362214330737,0.000310466965151787,0.000226134021873902,0.000235351989735642,0.000263212579439847,0.000137723398297446,0.000158589189618932,0.000270935088290938,0.00017776782725893,0.000190681279297282,0.000173243150304073,0.000132025764822181,0.000118272939688716,0.000130704260385793
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.00808866219792108,0.00710481955458113,0.00699927247436598,0.00721470054019928,0.00712265624438426,0.00696055969863683,0.00681157232724114,0.0067040257495834,0.00640386375174457,0.00644854092512619,0.00618451468214086,0.00612916351034801,0.0058533326101948,0.00584532012630812,0.00647713624964855,0.00704478589608697,0.00703966594739106,0.0064313117479769,0.00646462380623434,0.00666526963853296,0.00681513060369031,0.00716917457432508,0.00759906104211417,0.00799083091341259,0.00782248256628742,0.00749247997857293,0.00723792253769823,0.00634792572899793,0.006392295212733,0.00666466867785531,0.00639336159175605,0.00594714121082721,0.00552548162747001,0.0128958450417476,0.0112949808138518,0.00708362916530965,0.00779380112309388,0.00846655224009656,0.00779111964864953,0.00747344580246806,0.00864512972203771,0.0105230727347118,0.00794611167933452,0.00886137782555302,0.00858990428247307,0.00889083601205531,0.00962784601343397,0.0199418814258146,0.0214242006552496,0.0300985405452136,0.0282833679798077,0.0324588720291708,0.0317924362568861,0.0391171067561512,0.0374006998010763,0.0333880366602551,0.0309471132120171
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0.000483781963319485,0.000595012524446105,0.000560743348028027,0.000582048334124414,0.000815380057793538,0.000676020427292289,0.000700421987605643,0.00073565787890668,0.00104083492197977,0.000626634554375536,0.000534866924954152,0.000435894043307077,0.000414091989347226,0.000478955332992149,0.00052837924193368,0.00047048826068066,0.000603318492745461,0.000514419224283707,0.000563184413738279,0.000516602073331255,0.000478533263627041,0.000416445443742143,0.000345278587274164,0.000325280332162647,0.000349627790112252,0.000398905904887816,0.000308163113715233,0.000329791422024848,0.000278676368333891,0.00047403591755326,0.000464790106131075,0.000483511521777414,0.000455257283709921,0.000469211272455174,0.000522388119124428,0.000544070065603056,0.000525546165105651,0.000560335906746548,0.000640247455023471,0.000480308492984241,0.000451448649304657,0.000998135840447213,0.0010317329615935,0.000447500773158211,0.00126799336400009,0.00230413370901152,0.00140854113114361,0.00100864631574914,0.00584389073460953,0.0037728902114724,0.00342312143532145,0.00462690850651503,0.00290936722344751,0.00464579118418438,0.0064933679026138,0.00355818269666228,0.00612261491871697
"Armenia",1.07604476737293e-06,7.70017115371978e-07,7.91217910114519e-07,6.29407694829056e-07,5.18372610124936e-07,4.53150591203716e-07,4.45374768817857e-07,3.84234078415631e-07,3.60271531424105e-07,4.78777477077349e-07,4.98291778653882e-07,5.16294883786511e-07,5.28381413596638e-07,5.56071967967521e-07,6.17710362835721e-07,6.42757212252476e-07,7.8887875480246e-07,6.93132615209342e-07,6.44570206846456e-07,7.64028816408943e-07,8.58664691279533e-07,7.97614809552575e-07,1.0377963672537e-06,1.08050087083676e-06,2.72736487347643e-06,2.67544397205354e-06,2.88898526439983e-06,3.11036093543028e-06,3.0002523367925e-06,2.76791287667375e-06,2.63089267844542e-06,8.26778956313164e-08,5.27900252779375e-07,4.67185806188097e-07,7.78285556555953e-08,3.64794614103631e-07,3.0259341083161e-07,3.91198036532354e-07,3.47280115771261e-07,1.56739896628464e-08,1.19112663631678e-08,1.41167682893623e-08,1.30692580387704e-06,2.38998727319326e-07,1.85446304766756e-07,3.09833685460611e-07,2.55254173530333e-06,5.87854960955828e-06,4.43249501331497e-06,3.10997507677713e-06,3.88925277345336e-06,3.55133935101916e-06,2.56859811286127e-06,3.1193165119972e-06,3.09431584891314e-06,3.55021540300983e-06,3.96242070345216e-06
